,日,曜,作業開始,作業終了,休憩時間,基本時間,残業時間,深夜時間,休日出勤
0,01/01,水,,,,,,,
1,01/02,木,,,,,,,
2,01/03,金,,,,,,,
3,01/04,土,,,,,,,
4,01/05,日,,,,,,,
5,01/06,月,09:00,22:00,01:30,08:00,03:30,,
6,01/07,火,09:00,22:00,01:30,08:00,03:30,,
7,01/08,水,09:00,21:30,01:30,08:00,03:00,,
8,01/09,木,09:00,19:15,01:00,08:00,01:15,,
9,01/10,金,09:00,21:45,01:30,08:00,03:15,,
10,01/11,土,,,,,,,
11,01/12,日,,,,,,,
12,01/13,月,,,,,,,
13,01/14,火,09:00,22:00,01:30,08:00,03:30,,
14,01/15,水,09:00,22:00,01:30,08:00,03:30,,
15,01/16,木,09:00,21:00,01:30,08:00,02:30,,
16,01/17,金,09:00,21:00,01:30,08:00,02:30,,
17,01/18,土,09:00,20:00,01:30,08:00,01:30,,
18,01/19,日,,,,,,,
19,01/20,月,09:00,21:30,01:30,08:00,03:00,,
20,01/21,火,09:00,21:00,01:30,08:00,02:30,,
21,01/22,水,09:00,20:00,01:30,08:00,01:30,,
22,01/23,木,09:00,19:30,01:00,08:00,01:30,,
23,01/24,金,09:00,20:00,01:30,08:00,01:30,,
24,01/25,土,,,,,,,
25,01/26,日,,,,,,,
26,01/27,月,09:00,19:15,01:00,08:00,01:15,,
27,01/28,火,09:00,19:15,01:00,08:00,01:15,,
28,01/29,水,09:00,19:15,01:00,08:00,01:15,,
29,01/30,木,09:00,19:15,01:00,08:00,01:15,,
30,01/31,金,10:00,19:15,01:00,08:00,01:15,,
